Order_ID,Order_Date,Month,Quarter,Product,SKU,Category,Subcategory,Region,Customer_Segment,Sales,Profit,Quantity,Discount,Unit_Price,Shipping_Cost,Profit_Margin
2631,2010-09-23,2010-09-01,2010 Q3,Fuji 5.2GB DVD-RAM,SKU-044A71,Technology,Computer Peripherals,Nunavut,Corporate,1078.49,252.66,27,0.08,40.96,1.99,0.2343
2757,2011-07-19,2011-07-01,2011 Q3,Bevis Steel Folding Chairs,SKU-917428,Furniture,Chairs & Chairmats,Nunavut,Corporate,3554.46,-1766.01,39,0.07,95.95,74.35,-0.4968
2791,2009-10-09,2009-10-01,2009 Q4,Avery Binder Labels,SKU-131A3E,Office Supplies,Binders And Binder Accessories,Nunavut,Corporate,191.67,-236.27,47,0.0,3.89,7.01,-1.2327
2791,2009-10-09,2009-10-01,2009 Q4,Hon Every-Day¨ Chair Series Swivel Task Chairs,SKU-424273,Furniture,Chairs & Chairmats,Nunavut,Corporate,5586.33,80.44,49,0.09,120.98,30.0,0.0144
2791,2009-10-09,2009-10-01,2009 Q4,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",SKU-BC4351,Office Supplies,Paper,Nunavut,Corporate,507.64,118.94,18,0.1,30.98,5.76,0.2343
2976,2010-12-09,2010-12-01,2010 Q4,Global Troyª Executive Leather Low-Back Tilter,SKU-462571,Furniture,Chairs & Chairmats,Nunavut,Consumer,14223.82,3424.22,30,0.09,500.98,26.0,0.2407
3232,2012-10-08,2012-10-01,2012 Q4,XtraLife¨ ClearVueª Slant-D¨ Ring Binders by Cardinal,SKU-E2F420,Office Supplies,Binders And Binder Accessories,Nunavut,Small Business,42.66,-11.83,5,0.06,7.84,4.71,-0.2773
3524,2012-05-02,2012-05-01,2012 Q2,Computer Printout Paper with Letter-Trim Perforations,SKU-35B560,Office Supplies,Paper,Nunavut,Small Business,427.32,52.35,21,0.0,18.97,9.03,0.1225
3908,2010-03-08,2010-03-01,2010 Q1,6160,SKU-FA3060,Technology,Telephones And Communication,Nunavut,Corporate,820.28,-180.2,8,0.0,115.99,2.5,-0.2197
4132,2011-05-28,2011-05-01,2011 Q2,Avery 49,SKU-7637FE,Office Supplies,Labels,Nunavut,Corporate,14.76,1.32,5,0.01,2.88,0.5,0.0894
4612,2010-09-19,2010-09-01,2010 Q3,Hoover Portapowerª Portable Vacuum,SKU-20723B,Office Supplies,Appliances,Nunavut,Corporate,89.55,-375.64,9,0.06,4.48,49.0,-4.1948
4676,2011-08-31,2011-08-01,2011 Q3,Timeport L7089,SKU-DAF3EE,Technology,Telephones And Communication,Nunavut,Home Office,1210.05,-104.25,11,0.04,125.99,7.69,-0.0862
4676,2011-08-31,2011-08-01,2011 Q3,Avery 510,SKU-2370B9,Office Supplies,Labels,Nunavut,Home Office,187.83,85.96,50,0.03,3.75,0.5,0.4576
4676,2011-08-31,2011-08-01,2011 Q3,Xerox 1881,SKU-6800D8,Office Supplies,Paper,Nunavut,Home Office,49.59,-8.38,3,0.07,12.28,6.47,-0.169
4676,2011-08-31,2011-08-01,2011 Q3,LX 788,SKU-B1C867,Technology,Telephones And Communication,Nunavut,Home Office,4253.01,1115.69,30,0.01,155.99,8.99,0.2623
5284,2011-07-08,2011-07-01,2011 Q3,"Cardinal Slant-D¨ Ring Binder, Heavy Gauge Vinyl",SKU-5627D1,Office Supplies,Binders And Binder Accessories,Nunavut,Home Office,59.38,-3.05,7,0.1,8.69,2.99,-0.0514
5316,2009-01-30,2009-01-01,2009 Q1,"Memorex 4.7GB DVD-RAM, 3/Pack",SKU-321967,Technology,Computer Peripherals,Nunavut,Corporate,1285.37,514.07,42,0.1,31.78,1.99,0.3999
5409,2012-01-08,2012-01-01,2012 Q1,Unpadded Memo Slips,SKU-4581FA,Office Supplies,Paper,Nunavut,Corporate,48.91,-7.04,11,0.01,3.98,2.97,-0.1439
5506,2010-11-07,2010-11-01,2010 Q4,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",SKU-F284FF,Office Supplies,Paper,Nunavut,Corporate,129.62,4.41,22,0.05,5.88,3.04,0.034
5569,2010-04-29,2010-04-01,2010 Q2,"Eldon Expressionsª Desk Accessory, Wood Pencil Holder, Oak",SKU-3BB541,Furniture,Office Furnishings,Nunavut,Corporate,118.97,-0.06,12,0.09,9.65,6.22,-0.0005
5607,2011-12-31,2011-12-01,2011 Q4,Bell Sonecor JB700 Caller ID,SKU-B5CB16,Technology,Telephones And Communication,Nunavut,Home Office,61.87,-50.33,8,0.0,7.99,5.03,-0.8135
5894,2009-08-12,2009-08-01,2009 Q3,Avery Arch Ring Binders,SKU-FD7F83,Office Supplies,Binders And Binder Accessories,Nunavut,Corporate,384.33,87.68,7,0.1,58.1,1.49,0.2281
5894,2009-08-12,2009-08-01,2009 Q3,APC 7 Outlet Network SurgeArrest Surge Protector,SKU-4109C8,Office Supplies,Appliances,Nunavut,Corporate,239.03,-68.22,3,0.01,80.48,4.5,-0.2854
5925,2011-11-12,2011-11-01,2011 Q4,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",SKU-95DAA9,Furniture,Office Furnishings,Nunavut,Home Office,3922.42,-354.9,44,0.08,92.23,39.61,-0.0905
5925,2011-11-12,2011-11-01,2011 Q4,Accessory4,SKU-97F5BB,Technology,Telephones And Communication,Nunavut,Home Office,1733.36,-267.01,25,0.07,85.99,0.99,-0.154
6016,2012-01-20,2012-01-01,2012 Q1,Personal Creationsª Ink Jet Cards and Labels,SKU-ACEE87,Office Supplies,Paper,Nunavut,Home Office,208.28,3.63,19,0.07,11.48,5.43,0.0174
6116,2009-03-20,2009-03-01,2009 Q1,High Speed Automatic Electric Letter Opener,SKU-C985E8,Office Supplies,"Scissors, Rulers And Trimmers",Nunavut,Corporate,9620.82,-1759.58,6,0.04,1637.53,24.49,-0.1829
6182,2012-07-21,2012-07-01,2012 Q3,Xerox 1966,SKU-CAB2EA,Office Supplies,Paper,Nunavut,Corporate,255.48,-116.79,40,0.04,6.48,6.65,-0.4571
6182,2012-07-21,2012-07-01,2012 Q3,Xerox 213,SKU-DBBAA8,Office Supplies,Paper,Nunavut,Corporate,130.32,-67.28,18,0.04,6.48,7.86,-0.5163
6535,2012-06-12,2012-06-01,2012 Q2,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",SKU-7FE2B4,Office Supplies,Pens & Art Supplies,Nunavut,Corporate,312.36,-19.33,11,0.07,28.15,8.99,-0.0619
6884,2009-01-15,2009-01-01,2009 Q1,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),SKU-56376C,Office Supplies,Paper,Nunavut,Home Office,217.0,-61.21,41,0.01,4.98,4.75,-0.2821
6884,2009-01-15,2009-01-01,2009 Q1,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",SKU-2E9BDA,Office Supplies,Paper,Nunavut,Home Office,296.13,119.09,47,0.04,6.35,1.02,0.4022
6916,2010-06-04,2010-06-01,2010 Q2,Crate-A-Filesª,SKU-7B05DE,Office Supplies,Storage & Organization,Nunavut,Consumer,436.17,-141.27,40,0.08,10.9,7.46,-0.3239
6980,2010-02-18,2010-02-01,2010 Q1,"Angle-D Binders with Locking Rings, Label Holders",SKU-75DF45,Office Supplies,Binders And Binder Accessories,Nunavut,Consumer,136.29,-77.28,18,0.05,7.3,7.72,-0.567
6982,2011-11-16,2011-11-01,2011 Q4,"80 Minute CD-R Spindle, 100/Pack - Staples",SKU-3C82E1,Technology,Computer Peripherals,Nunavut,Corporate,1311.25,407.44,32,0.0,39.48,1.99,0.3107
6982,2011-11-16,2011-11-01,2011 Q4,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",SKU-7425D8,Furniture,Bookcases,Nunavut,Corporate,544.41,-338.27,5,0.09,100.98,57.38,-0.6214
6982,2011-11-16,2011-11-01,2011 Q4,12-1/2 Diameter Round Wall Clock,SKU-41AC37,Furniture,Office Furnishings,Nunavut,Corporate,844.09,52.56,41,0.04,19.98,10.49,0.0623
7110,2011-08-07,2011-08-01,2011 Q3,SAFCO Arco Folding Chair,SKU-EBD9BA,Furniture,Chairs & Chairmats,Nunavut,Corporate,6396.2,1902.24,22,0.02,276.2,24.49,0.2974
7430,2010-06-08,2010-06-01,2010 Q2,"#10 White Business Envelopes,4 1/8 x 9 1/2",SKU-46A502,Office Supplies,Envelopes,Nunavut,Corporate,751.77,353.2,50,0.05,15.67,1.39,0.4698
7906,2009-10-17,2009-10-01,2009 Q4,3M Office Air Cleaner,SKU-259F9E,Office Supplies,Appliances,Nunavut,Consumer,1003.06,271.78,37,0.03,25.98,5.37,0.271
8391,2011-08-28,2011-08-01,2011 Q3,"Global Leather and Oak Executive Chair, Black",SKU-53E944,Furniture,Chairs & Chairmats,Nunavut,Corporate,1266.72,-268.36,4,0.04,300.98,64.73,-0.2119
8419,2011-09-29,2011-09-01,2011 Q3,Xerox 1936,SKU-5DC8C3,Office Supplies,Paper,Nunavut,Small Business,368.04,70.39,19,0.07,19.98,5.97,0.1913
8419,2011-09-29,2011-09-01,2011 Q3,Xerox 214,SKU-0B0899,Office Supplies,Paper,Nunavut,Small Business,152.6,-86.62,24,0.1,6.48,7.03,-0.5676
8833,2012-05-04,2012-05-01,2012 Q2,Carina Double Wide Media Storage Towers in Natural & Black,SKU-BB2568,Office Supplies,Storage & Organization,Nunavut,Small Business,3338.98,-846.73,40,0.0,80.98,35.0,-0.2536
8995,2011-05-17,2011-05-01,2011 Q2,Staples¨ General Use 3-Ring Binders,SKU-B5A2A5,Office Supplies,Binders And Binder Accessories,Nunavut,Consumer,24.16,8.05,5,0.08,1.88,1.49,0.3332
8995,2011-05-17,2011-05-01,2011 Q2,Xerox 1904,SKU-3DB9D7,Office Supplies,Paper,Northwest Territories,Consumer,270.84,-78.02,41,0.1,6.48,5.86,-0.2881
8995,2011-05-17,2011-05-01,2011 Q2,Luxo Professional Combination Clamp-On Lamps,SKU-6DF0C6,Furniture,Office Furnishings,Northwest Territories,Consumer,3389.93,737.94,35,0.08,102.3,21.26,0.2177
8995,2011-05-17,2011-05-01,2011 Q2,Xerox 217,SKU-2240A4,Office Supplies,Paper,Northwest Territories,Consumer,266.36,-191.28,42,0.07,6.48,8.19,-0.7181
8995,2011-05-17,2011-05-01,2011 Q2,Revere Boxed Rubber Bands by Revere,SKU-4221AE,Office Supplies,Rubber Bands,Northwest Territories,Consumer,89.41,-21.49,46,0.01,1.89,0.76,-0.2404
9126,2009-11-17,2009-11-01,2009 Q4,"Acco Smartsocketª Table Surge Protector, 6 Color-Coded Adapter Outlets",SKU-F68169,Office Supplies,Appliances,Northwest Territories,Corporate,2799.7,884.08,47,0.04,62.05,3.99,0.3158
9127,2011-10-10,2011-10-01,2011 Q4,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",SKU-0D522A,Office Supplies,Storage & Organization,Northwest Territories,Corporate,2039.56,-329.49,7,0.04,279.48,35.0,-0.1615
9509,2012-10-07,2012-10-01,2012 Q4,Hon 4070 Series Pagodaª Round Back Stacking Chairs,SKU-B576A8,Furniture,Chairs & Chairmats,Northwest Territories,Home Office,12175.82,2825.15,36,0.02,320.98,58.95,0.232
9509,2012-10-07,2012-10-01,2012 Q4,Xerox 1887,SKU-1EC826,Office Supplies,Paper,Northwest Territories,Home Office,101.21,2.13,5,0.1,18.97,5.21,0.021
9509,2012-10-07,2012-10-01,2012 Q4,Xerox 1891,SKU-B92905,Office Supplies,Paper,Northwest Territories,Home Office,1585.64,707.15,32,0.02,48.91,5.81,0.446
9763,2011-08-13,2011-08-01,2011 Q3,Avery 506,SKU-CEC1AB,Office Supplies,Labels,Northwest Territories,Corporate,176.26,75.13,44,0.07,4.13,0.5,0.4262
9927,2011-08-16,2011-08-01,2011 Q3,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",SKU-00E9B5,Furniture,Bookcases,Northwest Territories,Corporate,4655.07,-270.63,32,0.0,140.98,53.48,-0.0581
9927,2011-08-16,2011-08-01,2011 Q3,"Lifetime Advantageª Folding Chairs, 4/Carton",SKU-CD0BD4,Furniture,Chairs & Chairmats,Northwest Territories,Corporate,10087.6,3387.35,44,0.01,218.08,18.06,0.3358
9927,2011-08-16,2011-08-01,2011 Q3,Microsoft Natural Multimedia Keyboard,SKU-5E7676,Technology,Computer Peripherals,Northwest Territories,Corporate,1608.08,-82.16,34,0.09,50.98,6.5,-0.0511
10022,2009-03-04,2009-03-01,2009 Q1,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",SKU-91119D,Office Supplies,Paper,Northwest Territories,Small Business,12.18,-3.88,1,0.06,10.14,2.27,-0.3186
10437,2009-08-18,2009-08-01,2009 Q3,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",SKU-EEAA07,Office Supplies,Binders And Binder Accessories,Northwest Territories,Corporate,820.52,-191.22,50,0.01,15.99,13.18,-0.233
10499,2010-11-16,2010-11-01,2010 Q4,Bevis Boat-Shaped Conference Table,SKU-C5505F,Furniture,Tables,Northwest Territories,Corporate,6250.94,31.21,29,0.01,262.11,62.74,0.005
10535,2011-05-27,2011-05-01,2011 Q2,"Linden¨ 12"" Wall Clock With Oak Frame",SKU-7CCE83,Furniture,Office Furnishings,Northwest Territories,Corporate,854.88,-44.14,25,0.09,33.98,19.99,-0.0516
10535,2011-05-27,2011-05-01,2011 Q2,Newell 326,SKU-EBC591,Office Supplies,Pens & Art Supplies,Northwest Territories,Corporate,80.27,-0.79,46,0.09,1.76,0.7,-0.0098
10789,2010-08-23,2010-08-01,2010 Q3,Prismacolor Color Pencil Set,SKU-CF4506,Office Supplies,Pens & Art Supplies,Northwest Territories,Corporate,308.54,76.42,15,0.0,19.84,4.1,0.2477
10791,2011-08-19,2011-08-01,2011 Q3,Xerox Blank Computer Paper,SKU-57E310,Office Supplies,Paper,Northwest Territories,Small Business,400.57,93.36,20,0.05,19.98,5.77,0.2331
10945,2012-01-03,2012-01-01,2012 Q1,600 Series Flip,SKU-22E947,Technology,Telephones And Communication,Northwest Territories,Consumer,1170.03,4.22,14,0.04,95.99,8.99,0.0036
11137,2012-11-29,2012-11-01,2012 Q4,Fellowes Recycled Storage Drawers,SKU-33ECBD,Office Supplies,Storage & Organization,Northwest Territories,Small Business,5188.86,395.12,48,0.1,111.03,8.64,0.0761
11202,2012-03-17,2012-03-01,2012 Q1,Satellite Sectional Post Binders,SKU-9FDD63,Office Supplies,Binders And Binder Accessories,Northwest Territories,Corporate,339.81,79.59,8,0.05,43.41,2.99,0.2342
11456,2010-04-12,2010-04-01,2010 Q2,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,SKU-98E0A9,Furniture,Office Furnishings,Northwest Territories,Corporate,1519.9,399.37,15,0.09,105.34,24.49,0.2628
11460,2010-08-24,2010-08-01,2010 Q3,Avery 487,SKU-B6C260,Office Supplies,Labels,Northwest Territories,Home Office,102.24,37.79,30,0.09,3.69,0.5,0.3696
11495,2011-07-04,2011-07-01,2011 Q3,Bevis Round Conference Table Top & Single Column Base,SKU-2DE223,Furniture,Tables,Northwest Territories,Corporate,965.69,-144.2,6,0.0,146.34,43.75,-0.1493
11911,2010-11-10,2010-11-01,2010 Q4,"GBC Twin Loopª Wire Binding Elements, 9/16"" Spine, Black",SKU-DFB9D1,Office Supplies,Binders And Binder Accessories,Northwest Territories,Consumer,397.84,-14.75,25,0.0,15.22,9.73,-0.0371
11941,2010-06-24,2010-06-01,2010 Q2,Hanging Personal Folder File,SKU-76F53C,Office Supplies,Storage & Organization,Northwest Territories,Corporate,73.07,-41.01,4,0.08,15.7,11.25,-0.5612
11941,2010-06-24,2010-06-01,2010 Q2,"Bevis Round Conference Table Top, X-Base",SKU-7CA0B3,Furniture,Tables,Northwest Territories,Corporate,4679.1,111.52,26,0.05,179.29,29.21,0.0238
12096,2012-09-19,2012-09-01,2012 Q3,5125,SKU-37F65C,Technology,Telephones And Communication,Northwest Territories,Home Office,8009.59,2332.4,46,0.02,200.99,8.08,0.2912
12096,2012-09-19,2012-09-01,2012 Q3,Electrix Halogen Magnifier Lamp,SKU-07E96A,Furniture,Office Furnishings,Northwest Territories,Home Office,4689.66,2176.19,23,0.01,194.3,11.54,0.464
12289,2011-12-24,2011-12-01,2011 Q4,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,SKU-F83F9F,Technology,Office Machines,Northwest Territories,Corporate,3019.41,1269.05,25,0.04,120.97,7.11,0.4203
12352,2012-03-23,2012-03-01,2012 Q1,Fellowes Black Plastic Comb Bindings,SKU-056089,Office Supplies,Binders And Binder Accessories,Northwest Territories,Corporate,36.86,-32.82,5,0.07,5.81,8.49,-0.8904
12419,2011-10-15,2011-10-01,2011 Q4,Polycom ViewStationª Adapter H323 Videoconferencing Unit,SKU-0EFBEB,Technology,Office Machines,Northwest Territories,Corporate,22079.47,5322.14,12,0.06,1938.02,13.99,0.241
12485,2010-08-07,2010-08-01,2010 Q3,Hon GuestStacker Chair,SKU-257482,Furniture,Chairs & Chairmats,Northwest Territories,Home Office,5407.31,1068.48,24,0.04,226.67,28.16,0.1976
12544,2009-03-03,2009-03-01,2009 Q1,Eldon¨ Wave Desk Accessories,SKU-291A23,Furniture,Office Furnishings,Northwest Territories,Corporate,74.3,-129.01,34,0.08,2.08,5.33,-1.7363
12704,2010-02-09,2010-02-01,2010 Q1,Sharp AL-1530CS Digital Copier,SKU-1C43E0,Technology,Copiers And Fax,Northwest Territories,Small Business,21506.77,1260.51,44,0.06,499.99,24.49,0.0586
12704,2010-02-09,2010-02-01,2010 Q1,"Tennsco Lockers, Gray",SKU-BC0B08,Office Supplies,Storage & Organization,Northwest Territories,Small Business,669.02,-1274.02,28,0.02,20.98,53.03,-1.9043
12771,2009-01-17,2009-01-01,2009 Q1,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",SKU-ED68AF,Office Supplies,Labels,Northwest Territories,Small Business,1143.49,-193.44,40,0.08,30.53,19.99,-0.1692
12771,2009-01-17,2009-01-01,2009 Q1,Newell 323,SKU-593E26,Office Supplies,Pens & Art Supplies,Northwest Territories,Small Business,78.08,-43.1,46,0.01,1.68,1.57,-0.552
12929,2010-08-30,2010-08-01,2010 Q3,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,SKU-D0E089,Furniture,Chairs & Chairmats,Northwest Territories,Corporate,5297.47,-158.93,19,0.02,270.98,50.0,-0.03
12929,2010-08-30,2010-08-01,2010 Q3,Spiral Phone Message Books with Labels by Adams,SKU-FD0D05,Office Supplies,Paper,Northwest Territories,Corporate,95.3,29.68,20,0.0,4.48,1.22,0.3114
13280,2009-09-11,2009-09-01,2009 Q3,Crate-A-Filesª,SKU-7B05DE,Office Supplies,Storage & Organization,Northwest Territories,Small Business,460.68,-116.76,40,0.01,10.9,7.46,-0.2535
13280,2009-09-11,2009-09-01,2009 Q3,Bell Sonecor JB700 Caller ID,SKU-B5CB16,Technology,Telephones And Communication,Northwest Territories,Small Business,318.76,-160.95,49,0.1,7.99,5.03,-0.5049
13313,2009-07-16,2009-07-01,2009 Q3,Holmes 99% HEPA Air Purifier,SKU-1596C0,Office Supplies,Appliances,Northwest Territories,Home Office,1020.61,-209.61,47,0.04,21.66,13.99,-0.2054
13346,2012-11-15,2012-11-01,2012 Q4,Xerox 224,SKU-262740,Office Supplies,Paper,Northwest Territories,Corporate,268.34,-240.83,44,0.09,6.48,8.88,-0.8975
13702,2011-09-10,2011-09-01,2011 Q3,Xerox 1906,SKU-AEFB7C,Office Supplies,Paper,Northwest Territories,Small Business,209.0,12.32,6,0.08,35.44,7.5,0.0589
13795,2011-04-10,2011-04-01,2011 Q2,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",SKU-EEAA07,Office Supplies,Binders And Binder Accessories,Northwest Territories,Small Business,501.32,-119.08,30,0.04,15.99,13.18,-0.2375
13795,2011-04-10,2011-04-01,2011 Q2,Xerox 188,SKU-7E2782,Office Supplies,Paper,Northwest Territories,Small Business,275.16,43.35,23,0.05,11.34,5.01,0.1575
13795,2011-04-10,2011-04-01,2011 Q2,Xerox 1932,SKU-C96CD3,Office Supplies,Paper,Northwest Territories,Small Business,1302.99,545.49,37,0.02,35.44,5.09,0.4186
