SKU,Product,Category,Region,Warehouse,Supplier,Inventory_Level,Reorder_Point,Safety_Stock,Supplier_Lead_Time_Days,Average_Monthly_Demand,Demand_Std_Dev,Max_Stock_Level,Inventory_Value,Velocity_Class,Inventory_Status,Stockout_Risk_Flag,Overstock_Flag
SKU-01589A,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Furniture,Prarie,WH-Central,Meridian Retail Co.,18,6,5,17,1.04,3.54,24,2359.03,Slow-moving,Maintain,No,No
SKU-017245,GBC Imprintable Covers,Office Supplies,Atlantic,WH-East,NorthBridge Supply,12,6,5,16,1.17,3.74,24,130.17,Slow-moving,Maintain,No,No
SKU-017245,GBC Imprintable Covers,Office Supplies,Prarie,WH-Central,Meridian Retail Co.,9,5,4,10,0.85,3.2,23,99.5,Slow-moving,Maintain,No,No
SKU-017245,GBC Imprintable Covers,Office Supplies,Quebec,WH-East,Meridian Retail Co.,31,7,6,19,1.4,4.09,25,358.11,Slow-moving,Excess Inventory,No,Yes
SKU-019BC3,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",Furniture,Atlantic,WH-East,Meridian Retail Co.,0,5,4,15,0.96,3.39,23,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-019BC3,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",Furniture,Prarie,WH-Central,PrimeSource Direct,18,4,3,6,0.98,3.43,22,1599.95,Slow-moving,Maintain,No,No
SKU-019BC3,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",Furniture,Quebec,WH-East,PrimeSource Direct,29,4,3,7,0.17,1.41,22,2151.95,Slow-moving,Excess Inventory,No,Yes
SKU-019BC3,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",Furniture,West,WH-West,Atlas Wholesale,19,5,4,11,1.0,3.46,23,1601.64,Slow-moving,Maintain,No,No
SKU-01C373,Storex Dura Proª Binders,Office Supplies,Ontario,WH-Central,PrimeSource Direct,8,4,3,9,0.1,1.12,22,63.84,Slow-moving,Maintain,No,No
SKU-01C373,Storex Dura Proª Binders,Office Supplies,Quebec,WH-East,PrimeSource Direct,19,5,4,18,0.6,2.69,23,111.12,Slow-moving,Maintain,No,No
SKU-01C373,Storex Dura Proª Binders,Office Supplies,West,WH-West,Atlas Wholesale,3,6,5,12,1.48,4.21,24,18.56,Slow-moving,Restock Recommended,Yes,No
SKU-01C373,Storex Dura Proª Binders,Office Supplies,Yukon,WH-North,Meridian Retail Co.,0,4,3,7,0.5,2.45,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-01C6A7,Fellowes EZ Multi-Media Keyboard,Technology,Ontario,WH-Central,NorthBridge Supply,23,6,5,10,1.83,4.69,24,840.87,Slow-moving,Maintain,No,No
SKU-01C6A7,Fellowes EZ Multi-Media Keyboard,Technology,Prarie,WH-Central,PrimeSource Direct,24,6,5,17,0.96,3.39,24,830.55,Slow-moving,Maintain,No,No
SKU-01C6A7,Fellowes EZ Multi-Media Keyboard,Technology,West,WH-West,PrimeSource Direct,0,4,3,5,0.46,2.35,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-01C6A7,Fellowes EZ Multi-Media Keyboard,Technology,Yukon,WH-North,Meridian Retail Co.,20,4,3,15,0.08,1.0,22,687.7,Slow-moving,Maintain,No,No
SKU-01C83C,Microsoft Office Keyboard,Technology,Prarie,WH-Central,Meridian Retail Co.,10,5,4,19,0.56,2.6,23,427.74,Slow-moving,Maintain,No,No
SKU-01C83C,Microsoft Office Keyboard,Technology,Quebec,WH-East,Meridian Retail Co.,13,5,4,21,0.62,2.74,23,492.46,Slow-moving,Maintain,No,No
SKU-02197F,Newell 321,Office Supplies,Ontario,WH-Central,NorthBridge Supply,3,4,3,9,0.35,2.06,22,9.82,Slow-moving,Restock Recommended,Yes,No
SKU-02197F,Newell 321,Office Supplies,Prarie,WH-Central,PrimeSource Direct,0,4,3,15,0.38,2.12,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-025894,Fellowes Super Stor/Drawer¨ Files,Office Supplies,Atlantic,WH-East,NorthBridge Supply,8,4,3,14,0.31,1.94,22,1315.21,Slow-moving,Maintain,No,No
SKU-025894,Fellowes Super Stor/Drawer¨ Files,Office Supplies,Ontario,WH-Central,Meridian Retail Co.,0,4,3,7,0.44,2.29,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-025894,Fellowes Super Stor/Drawer¨ Files,Office Supplies,Prarie,WH-Central,Meridian Retail Co.,29,5,4,9,1.38,4.06,23,4699.65,Slow-moving,Excess Inventory,No,Yes
SKU-025894,Fellowes Super Stor/Drawer¨ Files,Office Supplies,West,WH-West,Atlas Wholesale,40,10,8,13,3.54,6.52,28,6524.12,Medium-moving,Excess Inventory,No,Yes
SKU-025894,Fellowes Super Stor/Drawer¨ Files,Office Supplies,Yukon,WH-North,PrimeSource Direct,5,4,3,11,0.67,2.83,22,777.59,Slow-moving,Maintain,No,No
SKU-02A55F,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,Office Supplies,Prarie,WH-Central,Atlas Wholesale,16,4,3,17,0.27,1.8,22,504.58,Slow-moving,Maintain,No,No
SKU-02B9AC,Sterling Rubber Bands by Alliance,Office Supplies,Northwest Territories,WH-West,Meridian Retail Co.,9,5,4,21,0.65,2.78,23,43.02,Slow-moving,Maintain,No,No
SKU-02B9AC,Sterling Rubber Bands by Alliance,Office Supplies,Ontario,WH-Central,Meridian Retail Co.,30,4,3,7,0.65,2.78,22,138.36,Slow-moving,Excess Inventory,No,Yes
SKU-02B9AC,Sterling Rubber Bands by Alliance,Office Supplies,West,WH-West,Meridian Retail Co.,0,7,6,12,1.94,4.82,25,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-031933,Avery Hi-Liter¨ Smear-Safe Highlighters,Office Supplies,Atlantic,WH-East,NorthBridge Supply,14,4,3,7,0.25,1.73,22,89.16,Slow-moving,Maintain,No,No
SKU-031933,Avery Hi-Liter¨ Smear-Safe Highlighters,Office Supplies,Ontario,WH-Central,Meridian Retail Co.,24,4,3,21,0.23,1.66,22,143.35,Slow-moving,Excess Inventory,No,Yes
SKU-031933,Avery Hi-Liter¨ Smear-Safe Highlighters,Office Supplies,Prarie,WH-Central,Atlas Wholesale,29,4,3,9,0.4,2.18,22,178.99,Slow-moving,Excess Inventory,No,Yes
SKU-031933,Avery Hi-Liter¨ Smear-Safe Highlighters,Office Supplies,West,WH-West,Meridian Retail Co.,19,4,3,12,0.08,1.0,22,112.0,Slow-moving,Maintain,No,No
SKU-031933,Avery Hi-Liter¨ Smear-Safe Highlighters,Office Supplies,Yukon,WH-North,PrimeSource Direct,20,4,3,8,0.46,2.35,22,112.18,Slow-moving,Maintain,No,No
SKU-0355D0,"Adams ""While You Were Out"" Message Pads",Office Supplies,Ontario,WH-Central,NorthBridge Supply,0,6,5,18,1.04,3.54,24,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-0355D0,"Adams ""While You Were Out"" Message Pads",Office Supplies,Prarie,WH-Central,NorthBridge Supply,14,4,3,6,0.67,2.83,22,45.27,Slow-moving,Maintain,No,No
SKU-0355D0,"Adams ""While You Were Out"" Message Pads",Office Supplies,West,WH-West,Atlas Wholesale,28,5,4,12,0.9,3.28,23,87.47,Slow-moving,Excess Inventory,No,Yes
SKU-037850,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Atlantic,WH-East,Atlas Wholesale,10,4,3,9,0.77,3.04,22,134.67,Slow-moving,Maintain,No,No
SKU-037850,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Nunavut,WH-North,Atlas Wholesale,0,4,3,12,0.58,2.65,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-037850,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Prarie,WH-Central,NorthBridge Supply,30,7,6,8,3.23,6.22,25,403.61,Medium-moving,Excess Inventory,No,Yes
SKU-037850,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Quebec,WH-East,Meridian Retail Co.,8,4,3,7,0.62,2.74,22,113.74,Slow-moving,Maintain,No,No
SKU-037850,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,West,WH-West,Atlas Wholesale,11,9,7,18,2.23,5.17,27,145.77,Slow-moving,Maintain,No,No
SKU-037850,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Yukon,WH-North,Atlas Wholesale,0,4,3,6,0.56,2.6,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-03C6B0,252,Technology,Atlantic,WH-East,PrimeSource Direct,26,7,6,13,1.98,4.87,25,1454.25,Slow-moving,Excess Inventory,No,Yes
SKU-03C6B0,252,Technology,Northwest Territories,WH-West,Atlas Wholesale,28,4,3,18,0.31,1.94,22,1535.97,Slow-moving,Excess Inventory,No,Yes
SKU-03C6B0,252,Technology,Prarie,WH-Central,NorthBridge Supply,7,5,4,9,1.62,4.42,23,405.71,Slow-moving,Maintain,No,No
SKU-03C6B0,252,Technology,Quebec,WH-East,NorthBridge Supply,0,4,3,6,0.19,1.5,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-03C6B0,252,Technology,West,WH-West,Meridian Retail Co.,30,8,6,20,1.62,4.42,26,1706.25,Slow-moving,Excess Inventory,No,Yes
SKU-03E505,Advantus Push Pins,Office Supplies,Atlantic,WH-East,Meridian Retail Co.,0,4,3,6,0.6,2.69,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-03E505,Advantus Push Pins,Office Supplies,Ontario,WH-Central,Atlas Wholesale,8,4,3,7,0.23,1.66,22,18.15,Slow-moving,Maintain,No,No
SKU-03E505,Advantus Push Pins,Office Supplies,West,WH-West,Meridian Retail Co.,30,5,4,8,1.54,4.3,23,65.45,Slow-moving,Excess Inventory,No,Yes
SKU-044A71,Fuji 5.2GB DVD-RAM,Technology,Atlantic,WH-East,PrimeSource Direct,19,4,3,6,0.06,1.0,22,790.08,Slow-moving,Maintain,No,No
SKU-044A71,Fuji 5.2GB DVD-RAM,Technology,Nunavut,WH-North,Meridian Retail Co.,13,4,3,13,0.56,2.6,22,519.27,Slow-moving,Maintain,No,No
SKU-04503C,Ibico EPK-21 Electric Binding System,Office Supplies,Ontario,WH-Central,Atlas Wholesale,12,4,3,13,0.08,1.0,22,22219.47,Slow-moving,Maintain,No,No
SKU-04503C,Ibico EPK-21 Electric Binding System,Office Supplies,Prarie,WH-Central,NorthBridge Supply,0,4,3,15,0.04,1.0,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-047F04,Tennsco Commercial Shelving,Office Supplies,Atlantic,WH-East,NorthBridge Supply,29,4,3,19,0.12,1.22,22,768.74,Slow-moving,Excess Inventory,No,Yes
SKU-047F04,Tennsco Commercial Shelving,Office Supplies,Ontario,WH-Central,PrimeSource Direct,26,5,4,7,1.62,4.42,23,581.79,Slow-moving,Excess Inventory,No,Yes
SKU-047F04,Tennsco Commercial Shelving,Office Supplies,Prarie,WH-Central,Meridian Retail Co.,0,5,4,9,1.56,4.33,23,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-047F04,Tennsco Commercial Shelving,Office Supplies,Quebec,WH-East,PrimeSource Direct,22,5,4,16,0.9,3.28,23,509.36,Slow-moving,Maintain,No,No
SKU-047F04,Tennsco Commercial Shelving,Office Supplies,West,WH-West,PrimeSource Direct,28,4,3,21,0.27,1.8,22,679.09,Slow-moving,Excess Inventory,No,Yes
SKU-0489F7,StarTAC ST7762,Technology,Atlantic,WH-East,PrimeSource Direct,1,4,3,8,0.48,2.4,22,105.81,Slow-moving,Restock Recommended,Yes,No
SKU-0489F7,StarTAC ST7762,Technology,Northwest Territories,WH-West,Meridian Retail Co.,28,4,3,8,1.02,3.5,22,2998.56,Slow-moving,Excess Inventory,No,Yes
SKU-0489F7,StarTAC ST7762,Technology,Ontario,WH-Central,PrimeSource Direct,7,5,4,13,1.12,3.67,23,706.18,Slow-moving,Maintain,No,No
SKU-0489F7,StarTAC ST7762,Technology,West,WH-West,Atlas Wholesale,10,5,4,11,1.27,3.91,23,1079.43,Slow-moving,Maintain,No,No
SKU-0489F7,StarTAC ST7762,Technology,Yukon,WH-North,NorthBridge Supply,0,5,4,13,1.0,3.46,23,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-049C33,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Office Supplies,Prarie,WH-Central,NorthBridge Supply,0,7,6,18,1.31,3.97,25,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-049C33,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Office Supplies,West,WH-West,Meridian Retail Co.,10,5,4,15,0.83,3.16,23,39.67,Slow-moving,Maintain,No,No
SKU-04F58E,Newell 335,Office Supplies,Atlantic,WH-East,NorthBridge Supply,23,7,6,19,1.33,4.0,25,69.06,Slow-moving,Maintain,No,No
SKU-04F58E,Newell 335,Office Supplies,Nunavut,WH-North,NorthBridge Supply,2,4,3,8,0.62,2.74,22,5.39,Slow-moving,Restock Recommended,Yes,No
SKU-04F58E,Newell 335,Office Supplies,Ontario,WH-Central,Atlas Wholesale,2,4,3,16,0.02,1.0,22,7.26,Slow-moving,Restock Recommended,Yes,No
SKU-04F58E,Newell 335,Office Supplies,Prarie,WH-Central,NorthBridge Supply,16,4,3,9,0.19,1.5,22,44.02,Slow-moving,Maintain,No,No
SKU-04F58E,Newell 335,Office Supplies,West,WH-West,NorthBridge Supply,10,6,5,16,1.0,3.46,24,30.35,Slow-moving,Maintain,No,No
SKU-050581,Bush Advantage Collection¨ Round Conference Table,Furniture,Atlantic,WH-East,Meridian Retail Co.,21,6,5,16,1.4,4.09,24,3704.39,Slow-moving,Maintain,No,No
SKU-050581,Bush Advantage Collection¨ Round Conference Table,Furniture,Ontario,WH-Central,Atlas Wholesale,12,9,7,12,2.92,5.92,27,2472.48,Slow-moving,Maintain,No,No
SKU-050581,Bush Advantage Collection¨ Round Conference Table,Furniture,Quebec,WH-East,Atlas Wholesale,14,4,3,5,0.67,2.83,22,3019.85,Slow-moving,Maintain,No,No
SKU-050581,Bush Advantage Collection¨ Round Conference Table,Furniture,West,WH-West,Atlas Wholesale,0,4,3,12,0.44,2.29,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-050581,Bush Advantage Collection¨ Round Conference Table,Furniture,Yukon,WH-North,Meridian Retail Co.,7,4,3,6,1.02,3.5,22,1465.89,Slow-moving,Maintain,No,No
SKU-056089,Fellowes Black Plastic Comb Bindings,Office Supplies,Atlantic,WH-East,Meridian Retail Co.,10,7,6,19,1.5,4.24,25,60.37,Slow-moving,Maintain,No,No
SKU-056089,Fellowes Black Plastic Comb Bindings,Office Supplies,Northwest Territories,WH-West,PrimeSource Direct,19,5,4,5,1.92,4.8,23,108.83,Slow-moving,Maintain,No,No
SKU-056089,Fellowes Black Plastic Comb Bindings,Office Supplies,Prarie,WH-Central,PrimeSource Direct,10,4,3,13,0.48,2.4,22,64.96,Slow-moving,Maintain,No,No
SKU-056089,Fellowes Black Plastic Comb Bindings,Office Supplies,Quebec,WH-East,PrimeSource Direct,28,5,4,21,0.58,2.65,23,169.22,Slow-moving,Excess Inventory,No,Yes
SKU-05755F,Xerox 1905,Office Supplies,Atlantic,WH-East,Meridian Retail Co.,10,5,4,5,1.92,4.8,23,69.5,Slow-moving,Maintain,No,No
SKU-05755F,Xerox 1905,Office Supplies,Prarie,WH-Central,Atlas Wholesale,31,4,3,13,0.08,1.0,22,265.59,Slow-moving,Excess Inventory,No,Yes
SKU-05755F,Xerox 1905,Office Supplies,West,WH-West,Atlas Wholesale,22,10,8,16,2.88,5.87,28,147.33,Slow-moving,Maintain,No,No
SKU-05755F,Xerox 1905,Office Supplies,Yukon,WH-North,Meridian Retail Co.,31,6,5,21,0.71,2.92,24,209.26,Slow-moving,Excess Inventory,No,Yes
SKU-057AB4,StarTAC 6500,Technology,Ontario,WH-Central,NorthBridge Supply,23,7,6,13,1.88,4.74,25,2368.8,Slow-moving,Maintain,No,No
SKU-057AB4,StarTAC 6500,Technology,Quebec,WH-East,Meridian Retail Co.,28,5,4,21,0.42,2.24,23,2946.99,Slow-moving,Excess Inventory,No,Yes
SKU-057AB4,StarTAC 6500,Technology,West,WH-West,PrimeSource Direct,21,10,8,16,3.04,6.04,28,2082.0,Medium-moving,Maintain,No,No
SKU-05DAD8,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,West,WH-West,PrimeSource Direct,12,4,3,8,0.62,2.74,22,1458.18,Slow-moving,Maintain,No,No
SKU-061C58,"Hoover Replacement Belts For Soft Guardª & Commercial Ltweight Upright Vacs, 2/Pk",Office Supplies,Atlantic,WH-East,Meridian Retail Co.,13,6,5,18,0.94,3.35,24,48.72,Slow-moving,Maintain,No,No
SKU-061C58,"Hoover Replacement Belts For Soft Guardª & Commercial Ltweight Upright Vacs, 2/Pk",Office Supplies,Ontario,WH-Central,Meridian Retail Co.,18,5,4,11,0.94,3.35,23,74.58,Slow-moving,Maintain,No,No
SKU-061C58,"Hoover Replacement Belts For Soft Guardª & Commercial Ltweight Upright Vacs, 2/Pk",Office Supplies,Prarie,WH-Central,PrimeSource Direct,0,5,4,14,0.79,3.08,23,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-061C58,"Hoover Replacement Belts For Soft Guardª & Commercial Ltweight Upright Vacs, 2/Pk",Office Supplies,Quebec,WH-East,PrimeSource Direct,31,5,4,14,0.65,2.78,23,131.2,Slow-moving,Excess Inventory,No,Yes
SKU-061C58,"Hoover Replacement Belts For Soft Guardª & Commercial Ltweight Upright Vacs, 2/Pk",Office Supplies,West,WH-West,Atlas Wholesale,8,6,5,19,1.04,3.54,24,32.64,Slow-moving,Maintain,No,No
SKU-066E69,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Office Supplies,Ontario,WH-Central,PrimeSource Direct,11,4,3,10,0.81,3.12,22,88.64,Slow-moving,Maintain,No,No
SKU-066E69,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Office Supplies,Prarie,WH-Central,PrimeSource Direct,8,4,3,7,0.83,3.16,22,59.83,Slow-moving,Maintain,No,No
SKU-066E69,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Office Supplies,Yukon,WH-North,NorthBridge Supply,2,4,3,12,0.25,1.73,22,15.75,Slow-moving,Restock Recommended,Yes,No
SKU-066F91,Staples Battery-Operated Desktop Pencil Sharpener,Office Supplies,Northwest Territories,WH-West,NorthBridge Supply,23,4,3,6,0.17,1.41,22,253.0,Slow-moving,Excess Inventory,No,Yes
SKU-066F91,Staples Battery-Operated Desktop Pencil Sharpener,Office Supplies,Ontario,WH-Central,Meridian Retail Co.,32,7,6,19,1.46,4.18,25,323.31,Slow-moving,Excess Inventory,No,Yes
SKU-066F91,Staples Battery-Operated Desktop Pencil Sharpener,Office Supplies,Quebec,WH-East,Meridian Retail Co.,10,6,5,17,0.94,3.35,24,103.1,Slow-moving,Maintain,No,No
SKU-066F91,Staples Battery-Operated Desktop Pencil Sharpener,Office Supplies,West,WH-West,Atlas Wholesale,0,4,3,5,1.1,3.64,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-066F91,Staples Battery-Operated Desktop Pencil Sharpener,Office Supplies,Yukon,WH-North,Atlas Wholesale,27,5,4,12,1.0,3.46,23,295.31,Slow-moving,Excess Inventory,No,Yes
SKU-06B9E6,Avery 511,Office Supplies,Atlantic,WH-East,Atlas Wholesale,0,4,3,6,0.83,3.16,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-06B9E6,Avery 511,Office Supplies,Ontario,WH-Central,PrimeSource Direct,27,5,4,9,1.23,3.84,23,85.45,Slow-moving,Excess Inventory,No,Yes
SKU-06B9E6,Avery 511,Office Supplies,Yukon,WH-North,Atlas Wholesale,26,5,4,19,0.48,2.4,23,74.63,Slow-moving,Excess Inventory,No,Yes
SKU-06D2C4,Xerox 194,Office Supplies,Atlantic,WH-East,Atlas Wholesale,28,8,6,19,1.69,4.5,26,1569.24,Slow-moving,Excess Inventory,No,Yes
SKU-06D2C4,Xerox 194,Office Supplies,Northwest Territories,WH-West,Atlas Wholesale,10,4,3,13,0.27,1.8,22,565.8,Slow-moving,Maintain,No,No
SKU-06D2C4,Xerox 194,Office Supplies,Ontario,WH-Central,PrimeSource Direct,0,6,5,12,1.73,4.56,24,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-06D2C4,Xerox 194,Office Supplies,Quebec,WH-East,NorthBridge Supply,13,4,3,12,0.65,2.78,22,733.87,Slow-moving,Maintain,No,No
SKU-06D2C4,Xerox 194,Office Supplies,West,WH-West,Meridian Retail Co.,19,6,5,9,1.96,4.85,24,1046.37,Slow-moving,Maintain,No,No
SKU-06D2C4,Xerox 194,Office Supplies,Yukon,WH-North,PrimeSource Direct,19,4,3,11,0.6,2.69,22,1142.6,Slow-moving,Maintain,No,No
SKU-06E418,Boston 1730 StandUp Electric Pencil Sharpener,Office Supplies,Atlantic,WH-East,Atlas Wholesale,13,10,8,19,2.75,5.74,28,287.64,Slow-moving,Maintain,No,No
SKU-06E418,Boston 1730 StandUp Electric Pencil Sharpener,Office Supplies,Northwest Territories,WH-West,NorthBridge Supply,30,4,3,17,0.46,2.35,22,659.95,Slow-moving,Excess Inventory,No,Yes
SKU-06E418,Boston 1730 StandUp Electric Pencil Sharpener,Office Supplies,Ontario,WH-Central,PrimeSource Direct,16,5,4,17,0.73,2.96,23,349.4,Slow-moving,Maintain,No,No
SKU-06E418,Boston 1730 StandUp Electric Pencil Sharpener,Office Supplies,Prarie,WH-Central,Meridian Retail Co.,26,9,7,17,2.33,5.29,27,551.17,Slow-moving,Maintain,No,No
SKU-06E418,Boston 1730 StandUp Electric Pencil Sharpener,Office Supplies,West,WH-West,Atlas Wholesale,24,8,6,20,1.6,4.39,26,518.03,Slow-moving,Maintain,No,No
SKU-06E418,Boston 1730 StandUp Electric Pencil Sharpener,Office Supplies,Yukon,WH-North,Meridian Retail Co.,18,4,3,5,0.21,1.58,22,381.55,Slow-moving,Maintain,No,No
SKU-076F1A,Honeywell Enviracaire¨ Portable HEPA Air Cleaner for up to 10 x 16 Room,Office Supplies,Prarie,WH-Central,NorthBridge Supply,33,5,4,19,0.52,2.5,23,4166.57,Slow-moving,Excess Inventory,No,Yes
SKU-076F1A,Honeywell Enviracaire¨ Portable HEPA Air Cleaner for up to 10 x 16 Room,Office Supplies,West,WH-West,NorthBridge Supply,0,4,3,17,0.33,2.0,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-07AACF,"Tennsco Lockers, Sand",Office Supplies,Atlantic,WH-East,Meridian Retail Co.,24,6,5,18,0.96,3.39,24,557.71,Slow-moving,Maintain,No,No
SKU-07AACF,"Tennsco Lockers, Sand",Office Supplies,Ontario,WH-Central,Meridian Retail Co.,13,4,3,6,0.79,3.08,22,290.04,Slow-moving,Maintain,No,No
SKU-07AACF,"Tennsco Lockers, Sand",Office Supplies,West,WH-West,PrimeSource Direct,20,7,6,19,1.25,3.87,25,461.53,Slow-moving,Maintain,No,No
SKU-07D135,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Ontario,WH-Central,Atlas Wholesale,0,6,5,18,1.06,3.57,24,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-07D135,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Prarie,WH-Central,PrimeSource Direct,0,4,3,5,0.42,2.24,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-07D135,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Quebec,WH-East,NorthBridge Supply,0,5,4,12,0.79,3.08,23,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-07D81B,V2397,Technology,Prarie,WH-Central,Meridian Retail Co.,0,5,4,12,1.02,3.5,23,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-07D81B,V2397,Technology,West,WH-West,Meridian Retail Co.,0,4,3,12,0.17,1.41,22,0.0,Slow-moving,Restock Recommended,Yes,No
SKU-07D81B,V2397,Technology,Yukon,WH-North,Meridian Retail Co.,18,6,5,19,0.79,3.08,24,1985.48,Slow-moving,Maintain,No,No
SKU-07E96A,Electrix Halogen Magnifier Lamp,Furniture,Northwest Territories,WH-West,PrimeSource Direct,3,4,3,8,0.48,2.4,22,611.69,Slow-moving,Restock Recommended,Yes,No
SKU-07E96A,Electrix Halogen Magnifier Lamp,Furniture,Ontario,WH-Central,Atlas Wholesale,12,4,3,8,0.44,2.29,22,2400.62,Slow-moving,Maintain,No,No
SKU-07E96A,Electrix Halogen Magnifier Lamp,Furniture,Quebec,WH-East,NorthBridge Supply,5,4,3,17,0.44,2.29,22,1000.26,Slow-moving,Maintain,No,No
